Dimension;Transcription
Conversation Management;yes i can read it
Conversation Management;yes i got it. we can do that.
Conversation Management;yes i like that idea
Conversation Management;yes i removed it
Conversation Management;yes itís fine.
Conversation Management;yes okay
Conversation Management;yes okay.
Conversation Management;yes that sounds good
Conversation Management;yes you are right.
Conversation Management;yes you can start.
Conversation Management;yes,
Conversation Management;yes, iím just trying to understand what you are writing.
Conversation Management;yes, itís a property of the intersection
Conversation Management;yes, okay
Conversation Management;yes, sounds good
Conversation Management;yes, sure
Conversation Management;yes, sure i do.
Conversation Management;yes.
Conversation Management;ah, ok
Conversation Management;ah, ok, yeah
Conversation Management;exactly, maybe this should be, i mean.
Conversation Management;exactly, yes
Conversation Management;in the four, yeah
Conversation Management;it seems so
Conversation Management;ok
Conversation Management;ok,
Conversation Management;so i am, yeah exactly,
Conversation Management;so, thatís exactly, i guess we need it for each
Conversation Management;yeah that's what i was thinking about when i said
Conversation Management;yeah yeah
Conversation Management;yeah, exactly
Conversation Management;yeah, exactly,
Conversation Management;yeah, iíll go on
Conversation Management;yeah, thatís fine
Conversation Management;yeah, thatís ok for me
Conversation Management;yeah, thatís right
Conversation Management;yeah, thatís right, thatís in two, requirement 2, part c, i think, yes
Conversation Management;yeah, thatís the thing, so in terms
Conversation Management;yeah, thatís what i am thinking.
Conversation Management;yeah, thatís whatís my first impression
Conversation Management;yeah, this could be a good option
Conversation Management;yeah, yeah, draw
Conversation Management;yeah, yeah, thatís fine for me too
Conversation Management;yep
Conversation Management;yes, ah, ok, right now i can see them
Conversation Management;yes, exactly that was what i was
Conversation Management;yes, exactly, yeah i think thatís the best way
Conversation Management;yes, thatís right
Conversation Management;yes, thatís right, i Creative Conflict, so we should probably draw it bigger so we can include more information in kind of symbols they draw.
Conversation Management;yes, you are connected, yes
Conversation Management;you can draw it
Conversation Management;a queue of cars, right
Conversation Management;alright
Conversation Management;alright.
Conversation Management;alright. okay
Conversation Management;alright.1
Conversation Management;cop, we'd have kind of a cop object that youcould manipulate certain rule sets. or is that implicit in[inaudible
Conversation Management;i believe we can.
Conversation Management;it has a tick and the tick method really then says i thinkwe're going to time this happened, i'm going to go check my[inaudible] and i'm going to kick off, so its like we're sayingthat this is a traverser.
Conversation Management;it seems like it
Conversation Management;it's almost like the intersection has a state
Conversation Management;it's distributed, okay.
Conversation Management;my first inclination is to say, okay the rules if rules can getpushed into the objects and then tick maybe into the--distribute the rules into the network and then at every tickeach aspect, each car gets a tick, each intersection gets atick, each road gets a tick.
Conversation Management;no
Conversation Management;oh, right
Conversation Management;okay
Conversation Management;okay so
Conversation Management;okay,
Conversation Management;okay, alright
Conversation Management;okay, i like that.
Conversation Management;okay, yeah.
Conversation Management;okay.
Conversation Management;random number generator is controlling push. andthat happens for every tick.
Conversation Management;right
Conversation Management;right,
Conversation Management;right, and then figure out
Conversation Management;right, right
Conversation Management;right, yeah
Conversation Management;right.
Conversation Management;right. exactly.
Conversation Management;right. okay
Conversation Management;so maybe this is public and this is private in the sensethat you only ever have roads in the network when it's at theintersections because i don't think, i'm trying to
Conversation Management;so they can build on.
Conversation Management;so, controller -ê okay
Conversation Management;sure. sure, so let's establish
Conversation Management;that's right.
Conversation Management;that's true.
Conversation Management;there might be an implicitstep in the network to say to keep the network modelconstraints by introducing an intersection if it needs to at ajunction
Conversation Management;well that's a good point, though,
Conversation Management;well, that could be, maybe the cop -
Conversation Management;yeah
Conversation Management;yeah and also
Conversation Management;yeah okay
Conversation Management;yeah sure
Conversation Management;yeah there could be two
Conversation Management;yeah,
Conversation Management;yeah, exactly.
Conversation Management;yeah, it's a little messy
Conversation Management;yeah, it's a lot of rules, right.
Conversation Management;yeah, right, right
Conversation Management;yeah, right. right
Conversation Management;yeah, that makes sense
Conversation Management;yeah, that's right.
Conversation Management;yeah, yeah
Conversation Management;yeah.
Conversation Management;you're right, so let's write it
Conversation Management;blocks
Conversation Management;exactly
Conversation Management;exactly,
Conversation Management;exactly, exactly
Conversation Management;exactly, exactly.
Conversation Management;from when you start it one way until you all the way tothe end to the next light? but it seems like sensors couldimpact that,
Conversation Management;furthermore, like more details.
Conversation Management;i got it, yeah.
Conversation Management;i know,
Conversation Management;i understand
Conversation Management;lets assume this
Conversation Management;no, no
Conversation Management;oh yes
Conversation Management;right, righ
Conversation Management;so i guess roads, intersections
Conversation Management;so i guess you would say that
Conversation Management;that's true
Conversation Management;there's intersections, and streets,
Conversation Management;these are the patterns
Conversation Management;this is a real?time table
Conversation Management;we could do it like that
Conversation Management;ya
Conversation Management;yeah, because that's a huge wrinkle if it's not.
Conversation Management;yeah, everyone has a light
Conversation Management;yeah, that's probably enough
Conversation Management;yeah, they're there
Conversation Management;yeah, well...
Conversation Management;yeah, yeah.
Conversation Management;yes
Conversation Management;you go ahead.
Conversation Management;absolutely, yeah
Conversation Management;exactly, so
Conversation Management;exactly, yeah
Conversation Management;exactly, yes,
Conversation Management;gotcha. okay, makes sense
Conversation Management;let's talk about that.
Conversation Management;okay, cool
Conversation Management;okay, cool.
Conversation Management;okay, so
Conversation Management;okay, yeah well that makes sense
Conversation Management;perfect okay
Conversation Management;put this signal here
Conversation Management;right, we don't care
Conversation Management;sensor, and
Conversation Management;well it'sÇ-its going to be significant
Conversation Management;well there's a speed component, yes
Conversation Management;whoever starts using it, yeah.
Conversation Management;yeah exactly.
Conversation Management;yeah i think you're right
Conversation Management;yeah i'm trying to get
Conversation Management;yeah we can do
Conversation Management;yeah, makes sense.
Conversation Management;yeah, that works.
Conversation Management;yeah, that's it
Conversation Management;yeah. i'm pretty sure
Conversation Management;yeah. okay cool
Conversation Management;yep.
Conversation Management;yes, exactly
Conversation Management;ah no
Conversation Management;endpoint is okay
Conversation Management;fair enough.
Conversation Management;is that okay?
Conversation Management;itís alright.
Conversation Management;no itís not
Conversation Management;okay. now i can see something
Conversation Management;so far itís okay.
Conversation Management;sure
Conversation Management;sure,
Conversation Management;sure.
Conversation Management;sure. sure.
Conversation Management;thanks a lot, thatís a compliment.
Conversation Management;thanks for the time, it was a nice design time so to say.
Conversation Management;thatís fine
Conversation Management;yea
Conversation Management;yea, yes.
Conversation Management;yes i Creative Conflict
Conversation Management;yes i can read it
Conversation Management;yes i got it. we can do that.
Conversation Management;yes i like that idea
Conversation Management;yes i removed it
Conversation Management;yes itís fine.
Conversation Management;yes okay
Conversation Management;yes okay.
Conversation Management;yes that sounds good
Conversation Management;yes you are right.
Conversation Management;yes you can start.
Conversation Management;yes,
Conversation Management;yes, iím just trying to understand what you are writing.
Conversation Management;yes, itís a property of the intersection
Conversation Management;yes, okay
Conversation Management;yes, sounds good
Conversation Management;yes, sure
Conversation Management;yes, sure i do.
Conversation Management;yes, you too, thank you very much. it was fun.
Conversation Management;yes.
Conversation Management;ah, ok
Conversation Management;ah, ok, yeah
Conversation Management;exactly, maybe this should be, i mean.
Conversation Management;exactly, yes
Conversation Management;in the four, yeah
Conversation Management;it seems so
Conversation Management;ok
Conversation Management;ok,
Conversation Management;so i am, yeah exactly,
Conversation Management;so i mean, yeah thatís the problem
Conversation Management;so, thatís exactly, i guess we need it for each
Conversation Management;yeah that's what i was thinking about when i said
Conversation Management;yeah yeah
Conversation Management;yeah, exactly
Conversation Management;yeah, exactly,
Conversation Management;yeah, iíll go on
Conversation Management;yeah, thatís fine
Conversation Management;yeah, thatís ok for me
Conversation Management;yeah, thatís right
Conversation Management;yeah, thatís right, thatís in two, requirement 2, part c, i think, yes
Conversation Management;yeah, thatís the thing, so in terms
Conversation Management;yeah, thatís what i am thinking.
Conversation Management;yeah, thatís whatís my first impression
Conversation Management;yeah, this could be a good option
Conversation Management;yeah, yeah, draw
Conversation Management;yeah, yeah, thatís fine for me too
Conversation Management;yep
Conversation Management;yes, ah, ok, right now i can see them
Conversation Management;yes, exactly that was what i was
Conversation Management;yes, exactly, yeah i think thatís the best way
Conversation Management;yes, thatís right
Conversation Management;yes, thatís right, i Creative Conflict, so we should probably draw it bigger so we can include more information in kind of symbols they draw.
Conversation Management;yes, you are connected, yes
Conversation Management;you can draw it
Other;i think you're right saying the light knows the state of is therea car there
Other;that's true.
Other;i would somehow separate it too
Other;no
Other;so that's what i was getting at
Other;that's kind of good down here
Other;yeah
Other;yeah, because it has to be adjusted to however fast you canpossibly be going
Other;it think so. yeah, i Creative Conflict.
Other;yeah, because it could you know
Other;i Creative Conflict on that
Other;traffic is not visualized really, and we could also have a visualization of the traffic, could make sense
Other;you are right, based on the current things it doesnít make too much sense that you have this reuse of traffic
Other;exactly
Other;ok, yeah
Other;thatís right, i Creative Conflict, so we should
Other;yeah i mean it would be interesting because then you can create more complex pattern and so, or sequences or more than one traffic light.
Other;yeah so then we should be able to connect them somehow.
Other;yeah, exactly
Other;yeah, exactly, thatís what i mean,
Other;yeah, yeah
Conversation Management;i'm sorry
Conversation Management;again sorry for my handwriting
Conversation Management;ah sorry
Conversation Management;iím sorry about my handwriting
Conversation Management;sorry for my handwriting
Conversation Management;sorry i have
Conversation Management;sorry.
Conversation Management;i am sorry for this ugly appearance
Conversation Management;so i am sorry for that
Conversation Management;sorry
Conversation Management;well that's a good point, though,
Conversation Management;is that okay?
Conversation Management;thanks a lot, thatís a compliment.
Conversation Management;thanks for the time, it was a nice design time so to say.
Conversation Management;yes, you too, thank you very much. it was fun.
Other;but it's not necessarily realistic
Other;but the light would then have to
Other;but then there's
Other;but you know
Other;i don't know
Other;i don't know how to actually structure this
Other;if we control whether certain intersections evenallow a [inaudible
Other;it should bepossible to create a busy road or a seldom used one, or any 0variation in between.
Other;okay so it says that's up to us
Other;or, at leastde
Other;so dowe want to have visualization of cars moving along aparticular road in a geometric sense?
Other;so now the push is not just the random numbergenerator for frequency, but there's also random numbergenerator for zero one for left versus right
Other;wonder if atfirst approximation never [inaudible] in roads.
Other;, but whatabout the--how
Other;. so add road could potentially have, what's theplace you could ever, you did this.
Other;. which would be a horizontalflow or a vertical flow
Other;and have uml diagram for the class structureof each object's attributes
Other;and i wonder
Other;aroad is an interior or we should call it an onramp
Other;but
Other;but also it'sanalytic data saying okay you're still in this queue
Other;but beginning when youjust
Other;but i imagine the controller controls that, right, the modelbasically is just the basically cars, the queue of cars, theintersection contains four queues.
Other;but i think that would become a bit spaghetti
Other;but if you
Other;but let's leave observe
Other;but not necessarilyall red.
Other;but only if
Other;but roads
Other;but should readily accommodate six intersections--okayso we can actually accommodate [inaudible] larger
Other;but that, but this simulation
Other;but the push is really
Other;but then let's
Other;but then there's horizontal-êleft,vertical-êleft.
Other;but then we can
Other;but we've
Other;but what
Other;butthen
Other;butwhat's--i'd imagine
Other;cop, we'd have kind of a cop object that youcould manipulate certain rule sets. or is that implicit in[inaudible
Other;create a road there's no intersection, so road existsoutside of the intersection
Other;do you want to keep it or do you want to do two queues.
Other;i don't know if this isany better
Other;i mean i'm wondering could youadd
Other;i suppose if you just had a list of intersections it goesrandomly too
Other;i think you're right saying the light knows the state of is therea car there
Other;i wonder if
Other;if it's a single lane of traffic, could those left-êturners andstraight-êthrough-êers be queued up in the same queue
Other;if that state is this, then the otherstates are going to be
Other;if the car at thehead of, well the entrance. i guess
Other;if there's a protected left turn thenthese need to be broken up almost.
Other;if they have an intersection here and here
Other;if this is ourcanvass and that's an onramp and that's an off ramp, youhave a special edge intersection
Other;if this road fills up, then even if this is green,this car won't be able to pass
Other;if we ever really neededthis
Other;if we had some sort of--our network can be representedwith a geometry that's in kind of the window so you canscroll around
Other;if we haveintersection then they know about them
Other;if we make the capacity of the geometry and youcould sort of simulate a highway or something
Other;if we want to
Other;if we want to get more sophisticated wecould have sensor logic taking sensor for each in-êroad so thatif say these two are empty then these two just stay greenforever
Other;if we were playing the roles ofarchitect, how to communicate it to--so we
Other;if you could rearrange the networks to get thatslope, you would have
Other;if you double click you can controlthe frequency of the car creation on that road
Other;if you gothrough that's fine and then through that's fine.
Other;if you have multiple lanesthen you could say the left one is always turning left
Other;if you look at a road. it has a queue, right
Other;if you say you have to start with anonramp
Other;if you're thinking graphically, if this iscapacity and wait time, the capacity is going to be graphedsomething like that
Other;if you're visiting anintersection and a road you don't have to be those thingsthere, all that logic is pretty clear there
Other;if youwant to take control, i'd have you say
Other;ifyou want to make it longer or shorter
Other;i'm notquite sure
Other;is the cop really a model or is that acontroller
Other;is this all this sort of master control orwhatever? or should that go into where you push rulesdown to
Other;it depends if there's two lanes or not.
Other;it has a tick, tick, tick, or are we saying that alltick logic methods have a combo
Other;it might be, or another alternative
Other;it would have multiple lanes so thatin a sense it has multiple queues
Other;it's almost as if you need to always start with an onramp sothat
Other;it's not full it would be allowed to
Other;just wonder if maybe the important
Other;let's supposeto you do here to here onramp, off ramp. and so this pointnow we can get an interior, now we've got an interior.
Other;let'ssuppose we make it so every ten ticks the lights change.well, it might be that every five ticks, the sensor is triggered,or something like that.
Other;like so that you've got this intersection next to thisintersection and if this road fills up, then even
Other;maybe ifyou select a car, i mean a road, it allows you to edit
Other;now i'm wondering like the rule for changing the lights,we established a rule saying the light, are we going to saylight would change to green, or will only stay red for xamount of time, or is it reversed
Other;numerical decision data. averagewait time, three hours. and i wonder if we want to allowuser control of a clock in the sense that relating the notion ofthis tick time to real time.
Other;okayone tick so from two to one, we go to zero
Other;one car or two
Other;or a left protection
Other;or analyzing the average wait time of a given car, right
Other;or are all the opposing lanesalways the same state
Other;or are we lettingthe video camera capture that description
Other;or if
Other;or if we
Other;or is this inside of a ui
Other;or we could even have
Other;or yeah i guess speed of cars, rate of incoming cars onthe onramp
Other;or you could say
Other;or you could start from the outside in and say, well for everyunbounded road,
Other;or you've got
Other;or, i want to run it on--run a simulation for some amount oftime and evaluate the network
Other;or, wait. well that's [inaudible] one cargoes per tick.
Other;property of the queue or a property of thecar
Other;right so this is now a ui piece and the dot, brings up youreditor with frequency of, your frequency value
Other;say if this is the head. sothe speed controls, like for every tick how many spaces a carcan move
Other;so
Other;so all these lines of
Other;so clock is a controller
Other;so do you want
Other;so for every tick, the analytics guy does asweep, collecting statistical data about the state of each tick
Other;so foreach road in the simulation we look at the car at the head ofthe queue
Other;so get rid of this
Other;so highlight
Other;so i
Other;so i can see traffic flow across it.
Other;so i think that might bethe best way to communicate interaction design.
Other;so i think that's
Other;so i was thinking
Other;so if the
Other;so i'll use a soliddot to mean ownership and then an open dot to meanreferencing. so the network owns the roads, the networkowns the intersections but the intersection can referencethese in and out roads. alright, so i guess we need, addroad
Other;so i'm thinking maybe
Other;so instead of just a straight
Other;so is there someone looking at the networksaying the average congestion is, or the average wait time ofa car is,
Other;so it might be thatthe road has some number of, an ordered list of cars that aremoving along the road and only when they get to the end ofthe road do they get pushed into the queue.
Other;so it should
Other;so it's a visit
Other;so it's got to be just a grid likethat. that's fine.
Other;so it's like8you're inferring intersection at crossings.
Other;so it's saying at each tick we see where the problems occurand maybe make a road blink red if it's full and
Other;so i've got two car lengths
Other;so let's
Other;so let's suppose t onerepresent a delta
Other;so max cars, holds n.1
Other;so maybe
Other;so maybe it'sreally a function of the result of how the intersections arelaid out. and the relationship between the intersection. 8
Other;so maybe this is public and this is private in the sensethat you only ever have roads in the network when it's at theintersections because i don't think, i'm trying to
Other;so maybe we
Other;so mostly straight and sometimes
Other;so next userstory
Other;so that comes back toanalytics right?
Other;so that kind of comes into car
Other;so that thisintersection is connected to this one, or is that
Other;so that would
Other;so that you
Other;so that's just the function or the property on thelight
Other;so that's one thing, and also like how longthese signals stay green
Other;so that's the basic way to kick it all off i guess
Other;so the cop as,
Other;so the empty network is what we started outwith a blank page, as they drag a road on, that instantiates aroad object
Other;so the only other way youcan get through
Other;so the pop
Other;so the random number
Other;so then you drag
Other;so then, so suppose, so we're going to have thecars done in one tic right.
Other;so therandom
Other;so there needs to be some logic about, wellthat's interesting so there's a notion of the road in, road out.
Other;so there's through here, off ramp and onramp right
Other;so this is interesting, so now should allow for roads of anylength to be placed
Other;so this network or graph hasadditional constraints.
Other;so this one piece of state we haven't captured is whether aroad is an interior or we should call it an onramp
Other;so this whole thing we should talk about road, got this modelcontrol or
Other;so we
Other;so we almost don't need a--well, we need car to havesomething in the queue
Other;so we could come
Other;so we makeroads, right. so one m of intersections and we would haveroad connected to the intersection or the intersection has2paths
Other;so we need to communicate the interaction
Other;so we want to, you know, does thishappen basically.
Other;so wecould introduce a notion of speed into our queue
Other;so we're
Other;so we're getting some credit collection of rules here
Other;so we've created a basic [inaudible] for it to run in.
Other;so we've got a great
Other;so when it comes
Other;so where you
Other;so you can't
Other;so you click an
Other;so you have a consistent road network.
Other;so you have to explain
Other;so you want the
Other;so youcould simplify
Other;so you're
Other;so you're just doing it
Other;so, go ahead
Other;so, let's suppose we start with, say this picture is t zero.what would, okay so they can't, let's suppose for a momentthat t zero has all the lights about to change, so in the sensethat wherever i just point in time nothing's moving and we'reshowing x point in time where something has moved sort ofbefore and after state.
Other;so, something happens as an external controller is ticking themodel
Other;sodoes it have a sensor, yes, no
Other;somenumber of--so it has, think of this as kilometers, or carlengths.
Other;sothat we
Other;sothis can be bigger than the window so scrolling, stuff likethat
Other;suppose you have even a simulationobject, it has a clock and a network and here's the clock andit tells the clock time
Other;thatif a car went from here--so what we'd see right now in ourvisualization is that in queue we see it pop to the front of thequeue
Other;that's true.
Other;then this guy would have a state. it's like okay i'vebeen in this state for two ticks, go to three don't change, goto four change, something like that. right, so this guy has anotion of the state of the light but also time and currentstate, right. so, the clock ticks, the cop says look at whatlights are green, one tick means one car goes through so wepop off the end of the queue, we say the cop notices the endof the intersection has been in this state for one tick so nochange needs to be made. and then we get the same greenstate
Other;there might be an implicitstep in the network to say to keep the network modelconstraints by introducing an intersection if it needs to at ajunction
Other;there's rules governing if you have two carsgoing into the same road, which goes first per tick,
Other;this road is geometrically shorter, then thisessentially is saying all roads are the same length
Other;this way, or that way
Other;ticks per minute, orsecond. okay
Other;we could do it that way. either that or we could make roadsdominant and then intersections really just a thing thathappens at road crossings.
Other;well, i don't know
Other;we're prettyconstrained in what we draw geometrically so it almostseems like it might be nice to [inaudible] the geometry fromthe simulation
Other;we've kind of done it here, butit's kind of messy
Other;when i hit theplay button, it kicks the ticks going and now we have all ofour random number generators feeding cars into thenetwork
Other;you have an analyticspiece looking in and assessing questions like
Other;you're trying to do the yield, you know trying tosimulate the yield rule, right
Other;but how
Other;so once the car exists
Other;, if you click on here and double click on here then there'ssome form that
Other;although
Other;although wemight duplicate that down here so that they can keep track ofit
Other;and what kind of metrics or ideas does she have aroundsuccess or failure of a given, of a simulation
Other;ayout on here well i definitely want itred for this whole period, and definitely red while it's yellow,and then there should be a little bit of an overlap. maybesomething tha
Other;but at the same
Other;but given what we have we think you can start ona prototype.
Other;but i think
Other;but ideally you'd want to have an ability for thesystem to self?adjust so that would be like the second stagewhere you go and figure
Other;but it's not
Other;but the thing is
Other;but then again
Other;but there's not a lot of, you
Other;buti
Other;butthat
Other;cars are independent ofintersections i feel
Other;each approach has a different light, or we could putthem in pairs where the north and south approaches both havethe same light signals.
Other;f south has a green arrow, then
Other;i almost wonder if, i don't know.
Other;i don't know how sensors work.
Other;i don't know if professor e really wants that level ofdetail
Other;i don't know if they can set thespeeds
Other;i don't know if you can changethese as well while you're going.
Other;i don't know if. but youalready got this on there,
Other;i don't know so much
Other;i don't know,
Other;i don't know.
Other;i don't knowthat almost feels like
Other;i don'tknow
Other;i don'tknow exactly how to capture this
Other;i would somehow separate it too
Other;if
Other;if the speed on this street is25mph, adding relay, how long should it take you to go thisdistance
Other;if this is green, then y
Other;if we had alittle more time
Other;if you want tosimulate it, you have to know
Other;i'm not reallysure
Other;i'm not sure.
Other;i'm saying
Other;i'm still thinking
Other;is part of the intersection
Other;it'd have to be in 60 because you'd only get [inaudible] onthe green, [inaudible] on the red
Other;know there is an overlap when both of them are red,because people run yellow lights, and they run red lights at theend so you'd get a collision
Other;meaninglittle dots are moving, showing you how the traffic is flowing
Other;n red for the remainder, andthen
Other;no
Other;now i don't know
Other;o
Other;oh that's not going to quite work.
Other;okay, so that's another thing we want to be able to specify indrawing.
Other;or
Other;or did i readsomething there that said it has some
Other;or maybe allow cycleable defaults
Other;or, again we could
Other;or, it could be you can drawwhile you're simulating.
Other;so i think it'sa little confusing.
Other;so it would be 50 seconds
Other;so it's almost lik
Other;so it's like a drawing tool that can allow them to lay downthese intersections
Other;so maybe that's a separate setting.
Other;so one thing is
Other;so that's what i was getting at
Other;so the
Other;so the intersection
Other;so the traffic pattern
Other;so then it's divided pretty much between green and...
Other;so then this would be intersection b2.
Other;so there is a finite number
Other;so this can get fairly complex very fast because you have allthese intersections
Other;so we don't need to really place traffic lights,
Other;so you couldn't
Other;so you're going to have
Other;that's kind of good down here
Other;then
Other;there's kind of a drawing area here
Other;this is where we still have a little doubt
Other;well, by controlling it at an individual car level you end upcontrolling the flow
Other;well, so one little thing besides laying out the roads. weneed some kind of visualization of the map
Other;yeah
Other;yeah, because it has to be adjusted to however fast you canpossibly be going
Other;you have to have green arrow and red arrow
Other;youhave the instance of the car, the car knows where it's going. sothe car comes, and does some sort of hand?shaking with theroad and the road knows it has this
Other;but also at eachintersection you can say this percentage is going to do this forvarying reasons that we don't
Other;i see the big picture, but i don't know the intersections
Other;if it doesn't have a sensor it just assumes, justignores the poll
Other;if we continue the hierarchy of the signals, the rules
Other;if you envisioned some sort of[inaudible] package then there'd be sort of this thing you knowthey'd drop a leftÇ-turn signal in there, and a straight signal
Other;if you have a light dictating left, it's always goingto be a left turn and straight and more often
Other;so this is the left turnlane
Other;, i'm not sure
Other;. and so you find this flow which islike,
Other;actually i [inaudible] should either.
Other;actually it doesn't require them to save it actually.so theoretically it's all good memory.
Other;and so can you hit
Other;and so instead of going from intersection
Other;and so this guy has this loop, this do sim loop,and these are kind of the drivers of the system
Other;and so we think about, termination of, do we get flow out of thissystem, do we think about
Other;basically this needs tomodel a set of use cases.
Other;but at
Other;but do we really want to stopthe number of cars it keeps queuing up
Other;but i don't know
Other;but i'm
Other;but lengthis
Other;but then do you have to specifyoutput points?
Other;but then this
Other;but we may need to trackÇ-we may need toset up outputs you know
Other;but what would the outputs necessarily be of that
Other;but, i think
Other;butthen there's
Other;butthis can be dictated
Other;do the roads delegate this, or do the intersections delegate all thecommunication
Other;does it run on a clock or does
Other;i don't [inaudible] into it.
Other;i don't think we need to make assumption of lanes, period
Other;if it blocks, the queue tells it hey i'mfull, that thread has to stop you know and then it's got to pull it tomake it go again
Other;if some carhere is wanting to go straight and this is backed up, they cannot
Other;if the queue is empty on the road, don't trigger it green
Other;if theres a one way road, so basically there's only one endpoint on this road
Other;if theres no traffic
Other;if there's no traffic, neverturn it green.
Other;if this road fills up, it's going to have to know i'm full, i can'taccept anymore traffic coming down my way.
Other;if we just say has the car,and then the rules come in here whether it's sensored or nonsensored.
Other;if we make the assumption that we're not going to have so a twolaneroad that turns into a oneÇ-lane road, i think we're fineÇ-
Other;if we think about, you know,somebody is going to say start feeding cars in here, and then thisguy has to say hey i'm full, stop
Other;if you have one lane, you don't really run intoreality
Other;if you're going to get back up here youcould potentially back it up into the next intersection dependingon this length here which is going to
Other;if you'renot, if you don't want a sensor, they said they can have withoutsensors, then it's completely time based.
Other;if youthink of this as kind of an encapsulated entity then it's not goingto know about this.
Other;ifyou have a full lane everywhere in the intersection so everythingfits they're two lanes at that point.
Other;i'm not sure
Other;i'm still wondering about the leftÇ-turn lane.
Other;is it a push or a pull model with the intersections
Other;it think so. yeah, i Creative Conflict.
Other;it's getting down to push or pull
Other;it's just a green but
Other;mean if you think of, you know desktop or
Other;one signal perdirection at each intersection. could be
Other;or do we just assume that anything doesn'thaveÇ-
Other;or intersection is going tohave to say something. okay, cars can come, and then the roadsare going to have to
Other;or is thatÇ-
Other;or is this thetime between state changes
Other;or, i'mgoing to have a left
Other;other option is to make it a full two second lane
Other;put them in, or pull them out
Other;sense to me or just basically
Other;so a lane has a signal, you know just kind of abstract.
Other;so basically each entry into the intersection there's going to be nnumber of signals
Other;so basically intersection is going to say to this road, you know r1,r2, r3, r4
Other;so basically leftor straight depending on the car.
Other;so basically there would be a queue
Other;so basically we need an option to say
Other;so each road is going
Other;so how are these signals
Other;so howÇ-what is the behavior of the inputs andwould there be any requirements on that?
Other;so i have a leftÇ-turn lane
Other;so i mean at that
Other;so i think
Other;so i think one of the things we'recoming out is the roadÇ-i don't know if it has lanes so much as ithas, you know left, straight, right
Other;so i think we
Other;so i would
