Dimension;Transcription
Conversation Management;yes i can read it
Conversation Management;yes i got it. we can do that.
Conversation Management;yes i like that idea
Conversation Management;yes i removed it
Conversation Management;yes itís fine.
Conversation Management;yes okay
Conversation Management;yes okay.
Conversation Management;yes that sounds good
Conversation Management;yes you are right.
Conversation Management;yes you can start.
Conversation Management;yes,
Conversation Management;yes, iím just trying to understand what you are writing.
Conversation Management;yes, itís a property of the intersection
Conversation Management;yes, okay
Conversation Management;yes, sounds good
Conversation Management;yes, sure
Conversation Management;yes, sure i do.
Conversation Management;yes.
Conversation Management;ah, ok
Conversation Management;ah, ok, yeah
Conversation Management;exactly, maybe this should be, i mean.
Conversation Management;exactly, yes
Conversation Management;in the four, yeah
Conversation Management;it seems so
Conversation Management;ok
Conversation Management;ok,
Conversation Management;so i am, yeah exactly,
Conversation Management;so, thatís exactly, i guess we need it for each
Conversation Management;yeah that's what i was thinking about when i said
Conversation Management;yeah yeah
Conversation Management;yeah, exactly
Conversation Management;yeah, exactly,
Conversation Management;yeah, iíll go on
Conversation Management;yeah, thatís fine
Conversation Management;yeah, thatís ok for me
Conversation Management;yeah, thatís right
Conversation Management;yeah, thatís right, thatís in two, requirement 2, part c, i think, yes
Conversation Management;yeah, thatís the thing, so in terms
Conversation Management;yeah, thatís what i am thinking.
Conversation Management;yeah, thatís whatís my first impression
Conversation Management;yeah, this could be a good option
Conversation Management;yeah, yeah, draw
Conversation Management;yeah, yeah, thatís fine for me too
Conversation Management;yep
Conversation Management;yes, ah, ok, right now i can see them
Conversation Management;yes, exactly that was what i was
Conversation Management;yes, exactly, yeah i think thatís the best way
Conversation Management;yes, thatís right
Conversation Management;yes, thatís right, i Creative Conflict, so we should probably draw it bigger so we can include more information in kind of symbols they draw.
Conversation Management;yes, you are connected, yes
Conversation Management;you can draw it
Conversation Management;a queue of cars, right
Conversation Management;alright
Conversation Management;alright.
Conversation Management;alright. okay
Conversation Management;alright.1
Conversation Management;cop, we'd have kind of a cop object that youcould manipulate certain rule sets. or is that implicit in[inaudible
Conversation Management;i believe we can.
Conversation Management;it has a tick and the tick method really then says i thinkwe're going to time this happened, i'm going to go check my[inaudible] and i'm going to kick off, so its like we're sayingthat this is a traverser.
Conversation Management;it seems like it
Conversation Management;it's almost like the intersection has a state
Conversation Management;it's distributed, okay.
Conversation Management;my first inclination is to say, okay the rules if rules can getpushed into the objects and then tick maybe into the--distribute the rules into the network and then at every tickeach aspect, each car gets a tick, each intersection gets atick, each road gets a tick.
Conversation Management;no
Conversation Management;oh, right
Conversation Management;okay
Conversation Management;okay so
Conversation Management;okay,
Conversation Management;okay, alright
Conversation Management;okay, i like that.
Conversation Management;okay, yeah.
Conversation Management;okay.
Conversation Management;random number generator is controlling push. andthat happens for every tick.
Conversation Management;right
Conversation Management;right,
Conversation Management;right, and then figure out
Conversation Management;right, right
Conversation Management;right, yeah
Conversation Management;right.
Conversation Management;right. exactly.
Conversation Management;right. okay
Conversation Management;so maybe this is public and this is private in the sensethat you only ever have roads in the network when it's at theintersections because i don't think, i'm trying to
Conversation Management;so they can build on.
Conversation Management;so, controller -ê okay
Conversation Management;sure. sure, so let's establish
Conversation Management;that's right.
Conversation Management;that's true.
Conversation Management;there might be an implicitstep in the network to say to keep the network modelconstraints by introducing an intersection if it needs to at ajunction
Conversation Management;well that's a good point, though,
Conversation Management;well, that could be, maybe the cop -
Conversation Management;yeah
Conversation Management;yeah and also
Conversation Management;yeah okay
Conversation Management;yeah sure
Conversation Management;yeah there could be two
Conversation Management;yeah,
Conversation Management;yeah, exactly.
Conversation Management;yeah, it's a little messy
Conversation Management;yeah, it's a lot of rules, right.
Conversation Management;yeah, right, right
Conversation Management;yeah, right. right
Conversation Management;yeah, that makes sense
Conversation Management;yeah, that's right.
Conversation Management;yeah, yeah
Conversation Management;yeah.
Conversation Management;you're right, so let's write it
Conversation Management;blocks
Conversation Management;exactly
Conversation Management;exactly,
Conversation Management;exactly, exactly
Conversation Management;exactly, exactly.
Conversation Management;from when you start it one way until you all the way tothe end to the next light? but it seems like sensors couldimpact that,
Conversation Management;furthermore, like more details.
Conversation Management;i got it, yeah.
Conversation Management;i know,
Conversation Management;i understand
Conversation Management;lets assume this
Conversation Management;no, no
Conversation Management;oh yes
Conversation Management;right, righ
Conversation Management;so i guess roads, intersections
Conversation Management;so i guess you would say that
Conversation Management;that's true
Conversation Management;there's intersections, and streets,
Conversation Management;these are the patterns
Conversation Management;this is a real?time table
Conversation Management;we could do it like that
Conversation Management;ya
Conversation Management;yeah, because that's a huge wrinkle if it's not.
Conversation Management;yeah, everyone has a light
Conversation Management;yeah, that's probably enough
Conversation Management;yeah, they're there
Conversation Management;yeah, well...
Conversation Management;yeah, yeah.
Conversation Management;yes
Conversation Management;you go ahead.
Conversation Management;absolutely, yeah
Conversation Management;exactly, so
Conversation Management;exactly, yeah
Conversation Management;exactly, yes,
Conversation Management;gotcha. okay, makes sense
Conversation Management;let's talk about that.
Conversation Management;okay, cool
Conversation Management;okay, cool.
Conversation Management;okay, so
Conversation Management;okay, yeah well that makes sense
Conversation Management;perfect okay
Conversation Management;put this signal here
Conversation Management;right, we don't care
Conversation Management;sensor, and
Conversation Management;well it'sÇ-its going to be significant
Conversation Management;well there's a speed component, yes
Conversation Management;whoever starts using it, yeah.
Conversation Management;yeah exactly.
Conversation Management;yeah i think you're right
Conversation Management;yeah i'm trying to get
Conversation Management;yeah we can do
Conversation Management;yeah, makes sense.
Conversation Management;yeah, that works.
Conversation Management;yeah, that's it
Conversation Management;yeah. i'm pretty sure
Conversation Management;yeah. okay cool
Conversation Management;yep.
Conversation Management;yes, exactly
Conversation Management;ah no
Conversation Management;endpoint is okay
Conversation Management;fair enough.
Conversation Management;is that okay?
Conversation Management;itís alright.
Conversation Management;no itís not
Conversation Management;okay. now i can see something
Conversation Management;so far itís okay.
Conversation Management;sure
Conversation Management;sure,
Conversation Management;sure.
Conversation Management;sure. sure.
Conversation Management;thanks a lot, thatís a compliment.
Conversation Management;thanks for the time, it was a nice design time so to say.
Conversation Management;thatís fine
Conversation Management;yea
Conversation Management;yea, yes.
Conversation Management;yes i Creative Conflict
Conversation Management;yes i can read it
Conversation Management;yes i got it. we can do that.
Conversation Management;yes i like that idea
Conversation Management;yes i removed it
Conversation Management;yes itís fine.
Conversation Management;yes okay
Conversation Management;yes okay.
Conversation Management;yes that sounds good
Conversation Management;yes you are right.
Conversation Management;yes you can start.
Conversation Management;yes,
Conversation Management;yes, iím just trying to understand what you are writing.
Conversation Management;yes, itís a property of the intersection
Conversation Management;yes, okay
Conversation Management;yes, sounds good
Conversation Management;yes, sure
Conversation Management;yes, sure i do.
Conversation Management;yes, you too, thank you very much. it was fun.
Conversation Management;yes.
Conversation Management;ah, ok
Conversation Management;ah, ok, yeah
Conversation Management;exactly, maybe this should be, i mean.
Conversation Management;exactly, yes
Conversation Management;in the four, yeah
Conversation Management;it seems so
Conversation Management;ok
Conversation Management;ok,
Conversation Management;so i am, yeah exactly,
Conversation Management;so i mean, yeah thatís the problem
Conversation Management;so, thatís exactly, i guess we need it for each
Conversation Management;yeah that's what i was thinking about when i said
Conversation Management;yeah yeah
Conversation Management;yeah, exactly
Conversation Management;yeah, exactly,
Conversation Management;yeah, iíll go on
Conversation Management;yeah, thatís fine
Conversation Management;yeah, thatís ok for me
Conversation Management;yeah, thatís right
Conversation Management;yeah, thatís right, thatís in two, requirement 2, part c, i think, yes
Conversation Management;yeah, thatís the thing, so in terms
Conversation Management;yeah, thatís what i am thinking.
Conversation Management;yeah, thatís whatís my first impression
Conversation Management;yeah, this could be a good option
Conversation Management;yeah, yeah, draw
Conversation Management;yeah, yeah, thatís fine for me too
Conversation Management;yep
Conversation Management;yes, ah, ok, right now i can see them
Conversation Management;yes, exactly that was what i was
Conversation Management;yes, exactly, yeah i think thatís the best way
Conversation Management;yes, thatís right
Conversation Management;yes, thatís right, i Creative Conflict, so we should probably draw it bigger so we can include more information in kind of symbols they draw.
Conversation Management;yes, you are connected, yes
Conversation Management;you can draw it
Creative Conflict;i think you're right saying the light knows the state of is therea car there
Creative Conflict;that's true.
Creative Conflict;i would somehow separate it too
Creative Conflict;no
Creative Conflict;so that's what i was getting at
Creative Conflict;that's kind of good down here
Creative Conflict;yeah
Creative Conflict;yeah, because it has to be adjusted to however fast you canpossibly be going
Creative Conflict;it think so. yeah, i Creative Conflict.
Creative Conflict;yeah, because it could you know
Creative Conflict;i Creative Conflict on that
Creative Conflict;traffic is not visualized really, and we could also have a visualization of the traffic, could make sense
Creative Conflict;you are right, based on the current things it doesnít make too much sense that you have this reuse of traffic
Creative Conflict;exactly
Creative Conflict;ok, yeah
Creative Conflict;thatís right, i Creative Conflict, so we should
Creative Conflict;yeah i mean it would be interesting because then you can create more complex pattern and so, or sequences or more than one traffic light.
Creative Conflict;yeah so then we should be able to connect them somehow.
Creative Conflict;yeah, exactly
Creative Conflict;yeah, exactly, thatís what i mean,
Creative Conflict;yeah, yeah
Conversation Management;i'm sorry
Conversation Management;again sorry for my handwriting
Conversation Management;ah sorry
Conversation Management;iím sorry about my handwriting
Conversation Management;sorry for my handwriting
Conversation Management;sorry i have
Conversation Management;sorry.
Conversation Management;i am sorry for this ugly appearance
Conversation Management;so i am sorry for that
Conversation Management;sorry
Conversation Management;well that's a good point, though,
Conversation Management;is that okay?
Conversation Management;thanks a lot, thatís a compliment.
Conversation Management;thanks for the time, it was a nice design time so to say.
Conversation Management;yes, you too, thank you very much. it was fun.
Creative Conflict;but it's not necessarily realistic
Creative Conflict;but the light would then have to
Creative Conflict;but then there's
Creative Conflict;but you know
Creative Conflict;i don't know
Creative Conflict;i don't know how to actually structure this
Creative Conflict;if we control whether certain intersections evenallow a [inaudible
Creative Conflict;it should bepossible to create a busy road or a seldom used one, or any 0variation in between.
Creative Conflict;okay so it says that's up to us
Creative Conflict;or, at leastde
Creative Conflict;so dowe want to have visualization of cars moving along aparticular road in a geometric sense?
Creative Conflict;so now the push is not just the random numbergenerator for frequency, but there's also random numbergenerator for zero one for left versus right
Creative Conflict;wonder if atfirst approximation never [inaudible] in roads.
Creative Conflict;, but whatabout the--how
Creative Conflict;. so add road could potentially have, what's theplace you could ever, you did this.
Creative Conflict;. which would be a horizontalflow or a vertical flow
Creative Conflict;and have uml diagram for the class structureof each object's attributes
Creative Conflict;and i wonder
Creative Conflict;aroad is an interior or we should call it an onramp
Creative Conflict;but
Creative Conflict;but also it'sanalytic data saying okay you're still in this queue
Creative Conflict;but beginning when youjust
Creative Conflict;but i imagine the controller controls that, right, the modelbasically is just the basically cars, the queue of cars, theintersection contains four queues.
Creative Conflict;but i think that would become a bit spaghetti
Creative Conflict;but if you
Creative Conflict;but let's leave observe
Creative Conflict;but not necessarilyall red.
Creative Conflict;but only if
Creative Conflict;but roads
Creative Conflict;but should readily accommodate six intersections--okayso we can actually accommodate [inaudible] larger
Creative Conflict;but that, but this simulation
Creative Conflict;but the push is really
Creative Conflict;but then let's
Creative Conflict;but then there's horizontal-êleft,vertical-êleft.
Creative Conflict;but then we can
Creative Conflict;but we've
Creative Conflict;but what
Creative Conflict;butthen
Creative Conflict;butwhat's--i'd imagine
Creative Conflict;cop, we'd have kind of a cop object that youcould manipulate certain rule sets. or is that implicit in[inaudible
Creative Conflict;create a road there's no intersection, so road existsoutside of the intersection
Creative Conflict;do you want to keep it or do you want to do two queues.
Creative Conflict;i don't know if this isany better
Creative Conflict;i mean i'm wondering could youadd
Creative Conflict;i suppose if you just had a list of intersections it goesrandomly too
Creative Conflict;i think you're right saying the light knows the state of is therea car there
Creative Conflict;i wonder if
Creative Conflict;if it's a single lane of traffic, could those left-êturners andstraight-êthrough-êers be queued up in the same queue
Creative Conflict;if that state is this, then the otherstates are going to be
Creative Conflict;if the car at thehead of, well the entrance. i guess
Creative Conflict;if there's a protected left turn thenthese need to be broken up almost.
Creative Conflict;if they have an intersection here and here
Creative Conflict;if this is ourcanvass and that's an onramp and that's an off ramp, youhave a special edge intersection
Creative Conflict;if this road fills up, then even if this is green,this car won't be able to pass
Creative Conflict;if we ever really neededthis
Creative Conflict;if we had some sort of--our network can be representedwith a geometry that's in kind of the window so you canscroll around
Creative Conflict;if we haveintersection then they know about them
Creative Conflict;if we make the capacity of the geometry and youcould sort of simulate a highway or something
Creative Conflict;if we want to
Creative Conflict;if we want to get more sophisticated wecould have sensor logic taking sensor for each in-êroad so thatif say these two are empty then these two just stay greenforever
Creative Conflict;if we were playing the roles ofarchitect, how to communicate it to--so we
Creative Conflict;if you could rearrange the networks to get thatslope, you would have
Creative Conflict;if you double click you can controlthe frequency of the car creation on that road
Creative Conflict;if you gothrough that's fine and then through that's fine.
Creative Conflict;if you have multiple lanesthen you could say the left one is always turning left
Creative Conflict;if you look at a road. it has a queue, right
Creative Conflict;if you say you have to start with anonramp
Creative Conflict;if you're thinking graphically, if this iscapacity and wait time, the capacity is going to be graphedsomething like that
Creative Conflict;if you're visiting anintersection and a road you don't have to be those thingsthere, all that logic is pretty clear there
Creative Conflict;if youwant to take control, i'd have you say
Creative Conflict;ifyou want to make it longer or shorter
Creative Conflict;i'm notquite sure
Creative Conflict;is the cop really a model or is that acontroller
Creative Conflict;is this all this sort of master control orwhatever? or should that go into where you push rulesdown to
Creative Conflict;it depends if there's two lanes or not.
Creative Conflict;it has a tick, tick, tick, or are we saying that alltick logic methods have a combo
Creative Conflict;it might be, or another alternative
Creative Conflict;it would have multiple lanes so thatin a sense it has multiple queues
Creative Conflict;it's almost as if you need to always start with an onramp sothat
Creative Conflict;it's not full it would be allowed to
Creative Conflict;just wonder if maybe the important
Creative Conflict;let's supposeto you do here to here onramp, off ramp. and so this pointnow we can get an interior, now we've got an interior.
Creative Conflict;let'ssuppose we make it so every ten ticks the lights change.well, it might be that every five ticks, the sensor is triggered,or something like that.
Creative Conflict;like so that you've got this intersection next to thisintersection and if this road fills up, then even
Creative Conflict;maybe ifyou select a car, i mean a road, it allows you to edit
Creative Conflict;now i'm wondering like the rule for changing the lights,we established a rule saying the light, are we going to saylight would change to green, or will only stay red for xamount of time, or is it reversed
Creative Conflict;numerical decision data. averagewait time, three hours. and i wonder if we want to allowuser control of a clock in the sense that relating the notion ofthis tick time to real time.
Creative Conflict;okayone tick so from two to one, we go to zero
Creative Conflict;one car or two
Creative Conflict;or a left protection
Creative Conflict;or analyzing the average wait time of a given car, right
Creative Conflict;or are all the opposing lanesalways the same state
Creative Conflict;or are we lettingthe video camera capture that description
Creative Conflict;or if
Creative Conflict;or if we
Creative Conflict;or is this inside of a ui
Creative Conflict;or we could even have
Creative Conflict;or yeah i guess speed of cars, rate of incoming cars onthe onramp
Creative Conflict;or you could say
Creative Conflict;or you could start from the outside in and say, well for everyunbounded road,
Creative Conflict;or you've got
Creative Conflict;or, i want to run it on--run a simulation for some amount oftime and evaluate the network
Creative Conflict;or, wait. well that's [inaudible] one cargoes per tick.
Creative Conflict;property of the queue or a property of thecar
Creative Conflict;right so this is now a ui piece and the dot, brings up youreditor with frequency of, your frequency value
Creative Conflict;say if this is the head. sothe speed controls, like for every tick how many spaces a carcan move
Creative Conflict;so
Creative Conflict;so all these lines of
Creative Conflict;so clock is a controller
Creative Conflict;so do you want
Creative Conflict;so for every tick, the analytics guy does asweep, collecting statistical data about the state of each tick
Creative Conflict;so foreach road in the simulation we look at the car at the head ofthe queue
Creative Conflict;so get rid of this
Creative Conflict;so highlight
Creative Conflict;so i
Creative Conflict;so i can see traffic flow across it.
Creative Conflict;so i think that might bethe best way to communicate interaction design.
Creative Conflict;so i think that's
Creative Conflict;so i was thinking
Creative Conflict;so if the
Creative Conflict;so i'll use a soliddot to mean ownership and then an open dot to meanreferencing. so the network owns the roads, the networkowns the intersections but the intersection can referencethese in and out roads. alright, so i guess we need, addroad
Creative Conflict;so i'm thinking maybe
Creative Conflict;so instead of just a straight
Creative Conflict;so is there someone looking at the networksaying the average congestion is, or the average wait time ofa car is,
Creative Conflict;so it might be thatthe road has some number of, an ordered list of cars that aremoving along the road and only when they get to the end ofthe road do they get pushed into the queue.
Creative Conflict;so it should
Creative Conflict;so it's a visit
Creative Conflict;so it's got to be just a grid likethat. that's fine.
Creative Conflict;so it's like8you're inferring intersection at crossings.
Creative Conflict;so it's saying at each tick we see where the problems occurand maybe make a road blink red if it's full and
Creative Conflict;so i've got two car lengths
Creative Conflict;so let's
Creative Conflict;so let's suppose t onerepresent a delta
Creative Conflict;so max cars, holds n.1
Creative Conflict;so maybe
Creative Conflict;so maybe it'sreally a function of the result of how the intersections arelaid out. and the relationship between the intersection. 8
Creative Conflict;so maybe this is public and this is private in the sensethat you only ever have roads in the network when it's at theintersections because i don't think, i'm trying to
Creative Conflict;so maybe we
Creative Conflict;so mostly straight and sometimes
Creative Conflict;so next userstory
Creative Conflict;so that comes back toanalytics right?
Creative Conflict;so that kind of comes into car
Creative Conflict;so that thisintersection is connected to this one, or is that
Creative Conflict;so that would
Creative Conflict;so that you
Creative Conflict;so that's just the function or the property on thelight
Creative Conflict;so that's one thing, and also like how longthese signals stay green
Creative Conflict;so that's the basic way to kick it all off i guess
Creative Conflict;so the cop as,
Creative Conflict;so the empty network is what we started outwith a blank page, as they drag a road on, that instantiates aroad object
Creative Conflict;so the only other way youcan get through
Creative Conflict;so the pop
Creative Conflict;so the random number
Creative Conflict;so then you drag
Creative Conflict;so then, so suppose, so we're going to have thecars done in one tic right.
Creative Conflict;so therandom
Creative Conflict;so there needs to be some logic about, wellthat's interesting so there's a notion of the road in, road out.
Creative Conflict;so there's through here, off ramp and onramp right
Creative Conflict;so this is interesting, so now should allow for roads of anylength to be placed
Creative Conflict;so this network or graph hasadditional constraints.
Creative Conflict;so this one piece of state we haven't captured is whether aroad is an interior or we should call it an onramp
Creative Conflict;so this whole thing we should talk about road, got this modelcontrol or
Creative Conflict;so we
Creative Conflict;so we almost don't need a--well, we need car to havesomething in the queue
Creative Conflict;so we could come
Creative Conflict;so we makeroads, right. so one m of intersections and we would haveroad connected to the intersection or the intersection has2paths
Creative Conflict;so we need to communicate the interaction
Creative Conflict;so we want to, you know, does thishappen basically.
Creative Conflict;so wecould introduce a notion of speed into our queue
Creative Conflict;so we're
Creative Conflict;so we're getting some credit collection of rules here
Creative Conflict;so we've created a basic [inaudible] for it to run in.
Creative Conflict;so we've got a great
Creative Conflict;so when it comes
Creative Conflict;so where you
Creative Conflict;so you can't
Creative Conflict;so you click an
Creative Conflict;so you have a consistent road network.
Creative Conflict;so you have to explain
Creative Conflict;so you want the
Creative Conflict;so youcould simplify
Creative Conflict;so you're
Creative Conflict;so you're just doing it
Creative Conflict;so, go ahead
Creative Conflict;so, let's suppose we start with, say this picture is t zero.what would, okay so they can't, let's suppose for a momentthat t zero has all the lights about to change, so in the sensethat wherever i just point in time nothing's moving and we'reshowing x point in time where something has moved sort ofbefore and after state.
Creative Conflict;so, something happens as an external controller is ticking themodel
Creative Conflict;sodoes it have a sensor, yes, no
Creative Conflict;somenumber of--so it has, think of this as kilometers, or carlengths.
Creative Conflict;sothat we
Creative Conflict;sothis can be bigger than the window so scrolling, stuff likethat
Creative Conflict;suppose you have even a simulationobject, it has a clock and a network and here's the clock andit tells the clock time
Creative Conflict;thatif a car went from here--so what we'd see right now in ourvisualization is that in queue we see it pop to the front of thequeue
Creative Conflict;that's true.
Creative Conflict;then this guy would have a state. it's like okay i'vebeen in this state for two ticks, go to three don't change, goto four change, something like that. right, so this guy has anotion of the state of the light but also time and currentstate, right. so, the clock ticks, the cop says look at whatlights are green, one tick means one car goes through so wepop off the end of the queue, we say the cop notices the endof the intersection has been in this state for one tick so nochange needs to be made. and then we get the same greenstate
Creative Conflict;there might be an implicitstep in the network to say to keep the network modelconstraints by introducing an intersection if it needs to at ajunction
Creative Conflict;there's rules governing if you have two carsgoing into the same road, which goes first per tick,
Creative Conflict;this road is geometrically shorter, then thisessentially is saying all roads are the same length
Creative Conflict;this way, or that way
Creative Conflict;ticks per minute, orsecond. okay
Creative Conflict;we could do it that way. either that or we could make roadsdominant and then intersections really just a thing thathappens at road crossings.
Creative Conflict;well, i don't know
Creative Conflict;we're prettyconstrained in what we draw geometrically so it almostseems like it might be nice to [inaudible] the geometry fromthe simulation
Creative Conflict;we've kind of done it here, butit's kind of messy
Creative Conflict;when i hit theplay button, it kicks the ticks going and now we have all ofour random number generators feeding cars into thenetwork
Creative Conflict;you have an analyticspiece looking in and assessing questions like
Creative Conflict;you're trying to do the yield, you know trying tosimulate the yield rule, right
Creative Conflict;but how
Creative Conflict;so once the car exists
Creative Conflict;, if you click on here and double click on here then there'ssome form that
Creative Conflict;although
Creative Conflict;although wemight duplicate that down here so that they can keep track ofit
Creative Conflict;and what kind of metrics or ideas does she have aroundsuccess or failure of a given, of a simulation
Creative Conflict;ayout on here well i definitely want itred for this whole period, and definitely red while it's yellow,and then there should be a little bit of an overlap. maybesomething tha
Creative Conflict;but at the same
Creative Conflict;but given what we have we think you can start ona prototype.
Creative Conflict;but i think
Creative Conflict;but ideally you'd want to have an ability for thesystem to self?adjust so that would be like the second stagewhere you go and figure
Creative Conflict;but it's not
Creative Conflict;but the thing is
Creative Conflict;but then again
Creative Conflict;but there's not a lot of, you
Creative Conflict;buti
Creative Conflict;butthat
Creative Conflict;cars are independent ofintersections i feel
Creative Conflict;each approach has a different light, or we could putthem in pairs where the north and south approaches both havethe same light signals.
Creative Conflict;f south has a green arrow, then
Creative Conflict;i almost wonder if, i don't know.
Creative Conflict;i don't know how sensors work.
Creative Conflict;i don't know if professor e really wants that level ofdetail
Creative Conflict;i don't know if they can set thespeeds
Creative Conflict;i don't know if you can changethese as well while you're going.
Creative Conflict;i don't know if. but youalready got this on there,
Creative Conflict;i don't know so much
Creative Conflict;i don't know,
Creative Conflict;i don't know.
Creative Conflict;i don't knowthat almost feels like
Creative Conflict;i don'tknow
Creative Conflict;i don'tknow exactly how to capture this
Creative Conflict;i would somehow separate it too
Creative Conflict;if
Creative Conflict;if the speed on this street is25mph, adding relay, how long should it take you to go thisdistance
Creative Conflict;if this is green, then y
Creative Conflict;if we had alittle more time
Creative Conflict;if you want tosimulate it, you have to know
Creative Conflict;i'm not reallysure
Creative Conflict;i'm not sure.
Creative Conflict;i'm saying
Creative Conflict;i'm still thinking
Creative Conflict;is part of the intersection
Creative Conflict;it'd have to be in 60 because you'd only get [inaudible] onthe green, [inaudible] on the red
Creative Conflict;know there is an overlap when both of them are red,because people run yellow lights, and they run red lights at theend so you'd get a collision
Creative Conflict;meaninglittle dots are moving, showing you how the traffic is flowing
Creative Conflict;n red for the remainder, andthen
Creative Conflict;no
Creative Conflict;now i don't know
Creative Conflict;o
Creative Conflict;oh that's not going to quite work.
Creative Conflict;okay, so that's another thing we want to be able to specify indrawing.
Creative Conflict;or
Creative Conflict;or did i readsomething there that said it has some
Creative Conflict;or maybe allow cycleable defaults
Creative Conflict;or, again we could
Creative Conflict;or, it could be you can drawwhile you're simulating.
Creative Conflict;so i think it'sa little confusing.
Creative Conflict;so it would be 50 seconds
Creative Conflict;so it's almost lik
Creative Conflict;so it's like a drawing tool that can allow them to lay downthese intersections
Creative Conflict;so maybe that's a separate setting.
Creative Conflict;so one thing is
Creative Conflict;so that's what i was getting at
Creative Conflict;so the
Creative Conflict;so the intersection
Creative Conflict;so the traffic pattern
Creative Conflict;so then it's divided pretty much between green and...
Creative Conflict;so then this would be intersection b2.
Creative Conflict;so there is a finite number
Creative Conflict;so this can get fairly complex very fast because you have allthese intersections
Creative Conflict;so we don't need to really place traffic lights,
Creative Conflict;so you couldn't
Creative Conflict;so you're going to have
Creative Conflict;that's kind of good down here
Creative Conflict;then
Creative Conflict;there's kind of a drawing area here
Creative Conflict;this is where we still have a little doubt
Creative Conflict;well, by controlling it at an individual car level you end upcontrolling the flow
Creative Conflict;well, so one little thing besides laying out the roads. weneed some kind of visualization of the map
Creative Conflict;yeah
Creative Conflict;yeah, because it has to be adjusted to however fast you canpossibly be going
Creative Conflict;you have to have green arrow and red arrow
Creative Conflict;youhave the instance of the car, the car knows where it's going. sothe car comes, and does some sort of hand?shaking with theroad and the road knows it has this
Creative Conflict;but also at eachintersection you can say this percentage is going to do this forvarying reasons that we don't
Creative Conflict;i see the big picture, but i don't know the intersections
Creative Conflict;if it doesn't have a sensor it just assumes, justignores the poll
Creative Conflict;if we continue the hierarchy of the signals, the rules
