Dimension;Transcription
Accept and Confirm;you're right, so let's write it
Acknowledge;a queue of cars, right
Acknowledge;alright
Acknowledge;alright.
Acknowledge;alright. okay
Acknowledge;alright.1
Acknowledge;cop, we'd have kind of a cop object that youcould manipulate certain rule sets. or is that implicit in[inaudible
Acknowledge;i believe we can.
Acknowledge;it has a tick and the tick method really then says i thinkwe're going to time this happened, i'm going to go check my[inaudible] and i'm going to kick off, so its like we're sayingthat this is a traverser.
Acknowledge;it seems like it
Acknowledge;it's almost like the intersection has a state
Acknowledge;it's distributed, okay.
Acknowledge;my first inclination is to say, okay the rules if rules can getpushed into the objects and then tick maybe into the--distribute the rules into the network and then at every tickeach aspect, each car gets a tick, each intersection gets atick, each road gets a tick.
Acknowledge;no
Acknowledge;oh, right
Acknowledge;okay
Acknowledge;okay 
Acknowledge;okay
Acknowledge;okay
Acknowledge;okay
Acknowledge;okay
Acknowledge;okay
Acknowledge;okay
Acknowledge;okay 
Acknowledge;okay
Acknowledge;okay
Acknowledge;okay
Acknowledge;okay
Acknowledge;okay
Acknowledge;okay
Acknowledge;okay
Acknowledge;okay
Acknowledge;okay
Acknowledge;okay so 
Acknowledge;okay,
Acknowledge;okay, alright
Acknowledge;okay, i like that.
Acknowledge;okay, yeah.
Acknowledge;okay.
Acknowledge;okay.
Acknowledge;okay.
Acknowledge;random number generator is controlling push. andthat happens for every tick.
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right 
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right
Acknowledge;right,
Acknowledge;right,
Acknowledge;right, and then figure out
Acknowledge;right, right
Acknowledge;right, yeah
Acknowledge;right.
Acknowledge;right.
Acknowledge;right.
Acknowledge;right.
Acknowledge;right.
Acknowledge;right.
Acknowledge;right. exactly.
Acknowledge;right. okay
Acknowledge;so maybe this is public and this is private in the sensethat you only ever have roads in the network when it's at theintersections because i don't think, i'm trying to
Acknowledge;so they can build on.
Acknowledge;so, controller -ê okay
Acknowledge;sure. sure, so let's establish
Acknowledge;that's right.
Acknowledge;that's true.
Acknowledge;there might be an implicitstep in the network to say to keep the network modelconstraints by introducing an intersection if it needs to at ajunction
Acknowledge;well that's a good point, though, 
Acknowledge;well, that could be, maybe the cop -
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah 
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah
Acknowledge;yeah and also
Acknowledge;yeah okay
Acknowledge;yeah sure
Acknowledge;yeah there could be two
Acknowledge;yeah, 
Acknowledge;yeah,
Acknowledge;yeah,
Acknowledge;yeah,
Acknowledge;yeah,
Acknowledge;yeah,
Acknowledge;yeah,
Acknowledge;yeah,
Acknowledge;yeah,
Acknowledge;yeah,
Acknowledge;yeah, exactly. 
Acknowledge;yeah, it's a little messy
Acknowledge;yeah, it's a lot of rules, right.
Acknowledge;yeah, right, right
Acknowledge;yeah, right. right
Acknowledge;yeah, that makes sense
Acknowledge;yeah, that's right.
Acknowledge;yeah, yeah
Acknowledge;yeah.
Acknowledge;yeah. 
Acknowledge;yeah.
Acknowledge;yeah.
Acknowledge;you're right, so let's write it
Agree;i think you're right saying the light knows the state of is therea car there
Agree;that's true. 
Appreciation;well that's a good point, though, 
Argue; but it's not necessarily realistic
Argue; but the light would then have to 
Argue; but then there's 
Argue; but you know 
Argue; i don't know 
Argue; i don't know how to actually structure this
Argue; if we control whether certain intersections evenallow a [inaudible
Argue; it should bepossible to create a busy road or a seldom used one, or any 0variation in between.
Argue; okay so it says that's up to us
Argue; or, at leastde
Argue; so dowe want to have visualization of cars moving along aparticular road in a geometric sense? 
Argue; so now the push is not just the random numbergenerator for frequency, but there's also random numbergenerator for zero one for left versus right
Argue; wonder if atfirst approximation never [inaudible] in roads. 
Argue;, but whatabout the--how 
Argue;. so add road could potentially have, what's theplace you could ever, you did this.
Argue;. which would be a horizontalflow or a vertical flow
Argue;and have uml diagram for the class structureof each object's attributes
Argue;and i wonder
Argue;aroad is an interior or we should call it an onramp
Argue;but 
Argue;but
Argue;but also it'sanalytic data saying okay you're still in this queue
Argue;but beginning when youjust 
Argue;but i imagine the controller controls that, right, the modelbasically is just the basically cars, the queue of cars, theintersection contains four queues.
Argue;but i think that would become a bit spaghetti 
Argue;but if you 
Argue;but let's leave observe 
Argue;but not necessarilyall red.
Argue;but only if 
Argue;but roads
Argue;but should readily accommodate six intersections--okayso we can actually accommodate [inaudible] larger
Argue;but that, but this simulation 
Argue;but the push is really 
Argue;but then let's
Argue;but then there's horizontal-êleft,vertical-êleft.
Argue;but then we can 
Argue;but we've 
Argue;but what 
Argue;butthen
Argue;butwhat's--i'd imagine 
Argue;cop, we'd have kind of a cop object that youcould manipulate certain rule sets. or is that implicit in[inaudible
Argue;create a road there's no intersection, so road existsoutside of the intersection
Argue;do you want to keep it or do you want to do two queues.
Argue;i don't know
Argue;i don't know if this isany better
Argue;i mean i'm wondering could youadd
Argue;i suppose if you just had a list of intersections it goesrandomly too 
Argue;i think you're right saying the light knows the state of is therea car there
Argue;i wonder if 
Argue;if it's a single lane of traffic, could those left-êturners andstraight-êthrough-êers be queued up in the same queue
Argue;if that state is this, then the otherstates are going to be
Argue;if the car at thehead of, well the entrance. i guess
Argue;if there's a protected left turn thenthese need to be broken up almost.
Argue;if they have an intersection here and here
Argue;if this is ourcanvass and that's an onramp and that's an off ramp, youhave a special edge intersection
Argue;if this road fills up, then even if this is green,this car won't be able to pass
Argue;if we ever really neededthis 
Argue;if we had some sort of--our network can be representedwith a geometry that's in kind of the window so you canscroll around
Argue;if we haveintersection then they know about them
Argue;if we make the capacity of the geometry and youcould sort of simulate a highway or something
Argue;if we want to
Argue;if we want to get more sophisticated wecould have sensor logic taking sensor for each in-êroad so thatif say these two are empty then these two just stay greenforever
Argue;if we were playing the roles ofarchitect, how to communicate it to--so we
Argue;if you could rearrange the networks to get thatslope, you would have
Argue;if you double click you can controlthe frequency of the car creation on that road
Argue;if you gothrough that's fine and then through that's fine.
Argue;if you have multiple lanesthen you could say the left one is always turning left
Argue;if you look at a road. it has a queue, right
Argue;if you say you have to start with anonramp 
Argue;if you're thinking graphically, if this iscapacity and wait time, the capacity is going to be graphedsomething like that
Argue;if you're visiting anintersection and a road you don't have to be those thingsthere, all that logic is pretty clear there
Argue;if youwant to take control, i'd have you say 
Argue;ifyou want to make it longer or shorter
Argue;i'm notquite sure 
Argue;is the cop really a model or is that acontroller
Argue;is this all this sort of master control orwhatever? or should that go into where you push rulesdown to
Argue;it depends if there's two lanes or not.
Argue;it has a tick, tick, tick, or are we saying that alltick logic methods have a combo
Argue;it might be, or another alternative
Argue;it would have multiple lanes so thatin a sense it has multiple queues
Argue;it's almost as if you need to always start with an onramp sothat
Argue;it's not full it would be allowed to
Argue;just wonder if maybe the important 
Argue;let's supposeto you do here to here onramp, off ramp. and so this pointnow we can get an interior, now we've got an interior.
Argue;let'ssuppose we make it so every ten ticks the lights change.well, it might be that every five ticks, the sensor is triggered,or something like that.
Argue;like so that you've got this intersection next to thisintersection and if this road fills up, then even 
Argue;maybe ifyou select a car, i mean a road, it allows you to edit
Argue;now i'm wondering like the rule for changing the lights,we established a rule saying the light, are we going to saylight would change to green, or will only stay red for xamount of time, or is it reversed
Argue;numerical decision data. averagewait time, three hours. and i wonder if we want to allowuser control of a clock in the sense that relating the notion ofthis tick time to real time. 
Argue;okayone tick so from two to one, we go to zero 
Argue;one car or two
Argue;or a left protection
Argue;or analyzing the average wait time of a given car, right
Argue;or are all the opposing lanesalways the same state
Argue;or are we lettingthe video camera capture that description
Argue;or if 
Argue;or if we 
Argue;or is this inside of a ui 
Argue;or we could even have 
Argue;or yeah i guess speed of cars, rate of incoming cars onthe onramp
Argue;or you could say
Argue;or you could start from the outside in and say, well for everyunbounded road,
Argue;or you've got 
Argue;or, i want to run it on--run a simulation for some amount oftime and evaluate the network
Argue;or, wait. well that's [inaudible] one cargoes per tick.
Argue;property of the queue or a property of thecar
Argue;right so this is now a ui piece and the dot, brings up youreditor with frequency of, your frequency value
Argue;say if this is the head. sothe speed controls, like for every tick how many spaces a carcan move
Argue;so
Argue;so all these lines of 
Argue;so clock is a controller
Argue;so do you want 
Argue;so for every tick, the analytics guy does asweep, collecting statistical data about the state of each tick
Argue;so foreach road in the simulation we look at the car at the head ofthe queue
Argue;so get rid of this 
Argue;so highlight 
Argue;so i 
Argue;so i can see traffic flow across it.
Argue;so i think that might bethe best way to communicate interaction design.
Argue;so i think that's 
Argue;so i was thinking 
Argue;so if the 
Argue;so i'll use a soliddot to mean ownership and then an open dot to meanreferencing. so the network owns the roads, the networkowns the intersections but the intersection can referencethese in and out roads. alright, so i guess we need, addroad
Argue;so i'm thinking maybe
Argue;so instead of just a straight 
Argue;so is there someone looking at the networksaying the average congestion is, or the average wait time ofa car is,
Argue;so it might be thatthe road has some number of, an ordered list of cars that aremoving along the road and only when they get to the end ofthe road do they get pushed into the queue. 
Argue;so it should 
Argue;so it's a visit
Argue;so it's got to be just a grid likethat. that's fine.
Argue;so it's like8you're inferring intersection at crossings.
Argue;so it's saying at each tick we see where the problems occurand maybe make a road blink red if it's full and
Argue;so i've got two car lengths 
Argue;so let's 
Argue;so let's suppose t onerepresent a delta 
Argue;so max cars, holds n.1
Argue;so maybe 
Argue;so maybe it'sreally a function of the result of how the intersections arelaid out. and the relationship between the intersection. 8
Argue;so maybe this is public and this is private in the sensethat you only ever have roads in the network when it's at theintersections because i don't think, i'm trying to
Argue;so maybe we 
Argue;so mostly straight and sometimes 
Argue;so next userstory 
Argue;so that comes back toanalytics right?
Argue;so that kind of comes into car
Argue;so that thisintersection is connected to this one, or is that
Argue;so that would 
Argue;so that you 
Argue;so that's just the function or the property on thelight
Argue;so that's one thing, and also like how longthese signals stay green
Argue;so that's the basic way to kick it all off i guess
Argue;so the cop as, 
Argue;so the empty network is what we started outwith a blank page, as they drag a road on, that instantiates aroad object
Argue;so the only other way youcan get through
Argue;so the pop 
Argue;so the random number 
Argue;so then you drag 
Argue;so then, so suppose, so we're going to have thecars done in one tic right.
Argue;so therandom 
Argue;so there needs to be some logic about, wellthat's interesting so there's a notion of the road in, road out.
Argue;so there's through here, off ramp and onramp right
Argue;so this is interesting, so now should allow for roads of anylength to be placed
Argue;so this network or graph hasadditional constraints.
Argue;so this one piece of state we haven't captured is whether aroad is an interior or we should call it an onramp
Argue;so this whole thing we should talk about road, got this modelcontrol or 
Argue;so we 
Argue;so we almost don't need a--well, we need car to havesomething in the queue
Argue;so we could come 
Argue;so we makeroads, right. so one m of intersections and we would haveroad connected to the intersection or the intersection has2paths
Argue;so we makeroads, right. so one m of intersections and we would haveroad connected to the intersection or the intersection has2paths
Argue;so we need to communicate the interaction
Argue;so we want to, you know, does thishappen basically.
Argue;so wecould introduce a notion of speed into our queue
Argue;so we're 
Argue;so we're getting some credit collection of rules here
Argue;so we've created a basic [inaudible] for it to run in.
Argue;so we've got a great 
Argue;so when it comes 
Argue;so where you 
Argue;so you can't 
Argue;so you click an 
Argue;so you have a consistent road network.
Argue;so you have to explain
Argue;so you want the 
Argue;so youcould simplify 
Argue;so you're 
Argue;so you're just doing it 
Argue;so, go ahead
Argue;so, let's suppose we start with, say this picture is t zero.what would, okay so they can't, let's suppose for a momentthat t zero has all the lights about to change, so in the sensethat wherever i just point in time nothing's moving and we'reshowing x point in time where something has moved sort ofbefore and after state.
Argue;so, something happens as an external controller is ticking themodel
Argue;sodoes it have a sensor, yes, no
Argue;somenumber of--so it has, think of this as kilometers, or carlengths. 
Argue;sothat we 
Argue;sothis can be bigger than the window so scrolling, stuff likethat
Argue;suppose you have even a simulationobject, it has a clock and a network and here's the clock andit tells the clock time
Argue;thatif a car went from here--so what we'd see right now in ourvisualization is that in queue we see it pop to the front of thequeue
Argue;that's true. 
Argue;then this guy would have a state. it's like okay i'vebeen in this state for two ticks, go to three don't change, goto four change, something like that. right, so this guy has anotion of the state of the light but also time and currentstate, right. so, the clock ticks, the cop says look at whatlights are green, one tick means one car goes through so wepop off the end of the queue, we say the cop notices the endof the intersection has been in this state for one tick so nochange needs to be made. and then we get the same greenstate
Argue;there might be an implicitstep in the network to say to keep the network modelconstraints by introducing an intersection if it needs to at ajunction
Argue;there's rules governing if you have two carsgoing into the same road, which goes first per tick, 
Argue;this road is geometrically shorter, then thisessentially is saying all roads are the same length
Argue;this way, or that way
Argue;ticks per minute, orsecond. okay
Argue;we could do it that way. either that or we could make roadsdominant and then intersections really just a thing thathappens at road crossings.
Argue;well, i don't know
Argue;we're prettyconstrained in what we draw geometrically so it almostseems like it might be nice to [inaudible] the geometry fromthe simulation
Argue;we've kind of done it here, butit's kind of messy
Argue;when i hit theplay button, it kicks the ticks going and now we have all ofour random number generators feeding cars into thenetwork
Argue;you have an analyticspiece looking in and assessing questions like
Argue;you're trying to do the yield, you know trying tosimulate the yield rule, right
Assumption; and we have a green light. not aleft-êgreen
Assumption; is really a random, saya random event in the sense that every tick he rolled a diceas to how many cars can queue up.
Assumption; so car equals left and i.light equalsyellow or .light equals left,
Assumption; visit intersection andthere's a visit called road, car, and then that, that's how wecode the logic. 
Assumption;a cop is kind of controlling the state of the model
Assumption;also don't need to push on herebecause the--this, you don't need to randomly push on herebecause all the cars coming in this queue are going to becoming from this road. either from here, or from there.
Assumption;analytic dataon an intersection saying how many cars are you pushingthrough on average.
Assumption;and as well as the signal
Assumption;and different logic on en-êqueuing or de-êqueuing. or, at leastde-êqueuing for depending on do you have a left-êturner at thehead of your queue and do your lights stay left
Assumption;and it also corresponds to time
Assumption;and that becomes a little more complicated right,once you have more roads
Assumption;and the logic here is that maybe the cop figure is thisgod-êlike thing that creates cars and queues them too andthat would go
Assumption;and then depending on 3what type of car, you queue it up on the lane.
Assumption;and then it's really the cop to say, okay 
Assumption;and then that dictates, so it's like--suppose we have a horizontal, horizontal versus vertical andit says the intersection is traveling horizontally now, tick ticktick boom it's traveling vertically now
Assumption;and then we need an f. a frequency value for theroad
Assumption;and thennetwork was responsible for pairing up those intersections.
Assumption;andthis intersection says basically as we're determining whetherto pop, we have to ask this intersection is it okay to, if there'san intersection here is it okay to push on there before wepop here.
Assumption;because the popping logic, you can't pop ifthe other road is full
Assumption;been saying that's just the default, wehaven't talked about specific types of observation.
Assumption;beginner phase of the model, right, andinto the receiver, or we could even have it take on a model,right.
Assumption;beginning a queue on yellow lights. so more logic in thestates
Assumption;car lengths and queue has amaximum of n. and then as we're bumping the value ofdistance travelled, it needs to be sensitive to who's in frontof it. you can never exceed distance traveled of the personin front of you in the queue.
Assumption;cars into this road can come from here goingstraight, here turning left, or here turning right.
Assumption;create a road there's no intersection, so road existsoutside of the intersection
Assumption;did we have a constraint of only four roads per intersection?
Assumption;directional -- okay. i'm thinking this is a queue, this is aqueue, this a queue.
Assumption;evaluation should be, should we say areable to evaluate per intersection or per
Assumption;feel like the rate at which the cars are 
Assumption;for that guy comingon this onramp, how does he get through the sim whetherhe can make straight road, you know straight-êthru's, you goleft and/or right or maybe a frequency, some distribution.so mostly straight and sometimes right.
Assumption;have some tick then sendssome then sends tick event to model.
Assumption;head of road. road. head of rsaper road. and if that, if the car equals straight
Assumption;if it's a single lane of traffic, could those left-êturners andstraight-êthrough-êers be queued up in the same queue
Assumption;if the car at thehead of, well the entrance. i guess
Assumption;if this is ourcanvass and that's an onramp and that's an off ramp, youhave a special edge intersection
Assumption;if we make the capacity of the geometry and youcould sort of simulate a highway or something
Assumption;if you gothrough that's fine and then through that's fine.
Assumption;if you have multiple lanesthen you could say the left one is always turning left
Assumption;if you're thinking graphically, if this iscapacity and wait time, the capacity is going to be graphedsomething like that
Assumption;if you're visiting anintersection and a road you don't have to be those thingsthere, all that logic is pretty 
Assumption;it depends if there's two lanes or not.
Assumption;it has a tick and the tick method really then says i thinkwe're going to time this happened, i'm going to go check my[inaudible] and i'm going to kick off, so its like we're sayingthat this is a traverser.
Assumption;it would have multiple lanes so thatin a sense it has multiple queues
Assumption;it's a simplifying assumption
Assumption;it's almost as if when we--basically per tick we haveto go through each intersection in some defined order too,
Assumption;it's almost like you just step up a level and have anobject called a network and that's the thing that assemblesintersection out of roads and knows whether its an exteriorroad or an interior road and all that
Assumption;it's an interior road if anotherroad--because this says you're going in here and out here sois this--is an interior road just one queue or in general 
Assumption;it'sreally a function of the result of how the intersections arelaid out. and the relationship between the intersection. 8
Assumption;let's say i'm not interested in all the roadsof an intersection, just that particular road
Assumption;let's supposeto you do here to here onramp, off ramp. and so this pointnow we can get an interior, now we've got an interior.
Assumption;light, it'sreally almost green, then we have r.pop, 
Assumption;maybe that's sort of an object-êoriented way. the roadkeeps up its own cars in the sense that
Assumption;maybe this is this card, this push notion right now and just ahand wave and have it happening in a global sense
Assumption;maybe we randomize the--at a pop and push. wealso then randomize the actual direction of the car.
Assumption;my first inclination is to say, okay the rules if rules can getpushed into the objects and then tick maybe into the--distribute the rules into the network and then at every tickeach aspect, each car gets a tick, each intersection gets atick, each road gets a tick.
Assumption;okay so this is road,and so it has a queue, and an abstraction with a push, pop
Assumption;once again, it's per tick right
Assumption;one car per tic.
Assumption;one car per tick passes if ahead of 4the--i guess there's a couple cases 
Assumption;only for the onramp roads
Assumption;or left versusstraight in our case
Assumption;or, wait. well that's [inaudible] one cargoes per tick.
Assumption;say some number of cars per minute while the lights green.
Assumption;should we define an initial simple intersection, an initialsimple car
Assumption;similar to we had analytic data on intersections. imean, its kind of an annotation network
Assumption;so clock is a controller
Assumption;so for every tick, the analytics guy does asweep, collecting statistical data about the state of each tick
Assumption;so i want to start and observe a simulation.
Assumption;so intersection then we need car, we need the notionof time, this is a simulation of time
Assumption;so length, in some ways, for ourpurposes, is just the number of cars that it will hold
Assumption;so let's suppose t onerepresent a delta of say four units in time, so four clock ticks,and we say one car per clock tick can pass or something
Assumption;so maybe a drawing of a, the simplest intersection, right, andan intersection, and have a particular road would have -ê it'sdirectional on either side, right. there are some number ofcars flowing on a particular road waiting at an intersection.there is a clock, right, that governs when the lights change.so, there are lights, right. this goes across the street rightthere.
Assumption;so some sort of analytic data gets collected onunder a car per cycle through.
Assumption;so that means car, cuz that's green, car and the, so how dowe 
Assumption;so the frequency f here is not a global to the network, it's asetting on a particular onramp road.
Assumption;so the intersectionhas light gating a pair of roads, light gating another pair ofroads. there's the light, i guess per pair of roads.
Assumption;so then, so suppose, so we're going to have thecars done in one tic right.
Assumption;so this guy goes away.4
Assumption;so this is like the network and the network has, maintainsthis graph of nodes and edges. where a node is anintersection and an edge is a road but we now have overcomplicated things 
Assumption;so this random number generator affectsnew--the next direction of the cars that come in from theoutside
Assumption;so thisall, is this all cop
Assumption;so we could justarbitrarily define that it takes two seconds off the wait timeor something
Assumption;so we have to have some sort of timer model that 
Assumption;so wecould introduce a notion of speed into our queue
Assumption;so what i'm thinking is maybe there's arandom number generator here that has two inputs of likebasically the probability, right
Assumption;so what we're saying isthere's a distinction--what you're saying is there's adistinction between an interior road and then the places thatthe random--the places that the random number generatorfeeds them in.
Assumption;so zero to one, which is afrequency number
Assumption;so, let's suppose we start with, say this picture is t zero.what would, okay so they can't, let's suppose for a momentthat t zero has all the lights about to change, so in the sensethat wherever i just point in time nothing's moving and we'reshowing x point in time where something has moved sort ofbefore and after state.
Assumption;some number of roads, be it in, out, horizontal andin, out vertical. 
Assumption;somehow we need to represent the amount of trafficor traffic flow
Assumption;sothe driver's been in this car for ten minutes going nowhere.
Assumption;speed of the car
Assumption;start with a model and start with the simplestmodel to get the simplest intersection flowing with cars andtiming.
Assumption;suppose you have even a simulationobject, it has a clock and a network and here's the clock andit tells the clock time
Assumption;that kicks off events and then which then make a [inaudible
Assumption;that kicks off events.
Assumption;that's an interesting question, how do we traverse thegraph
Assumption;that's another thing is lanes, right? lanes...
Assumption;that's theonly way you could pop in the at case, right?
Assumption;thatthe road has some number of, an 
Assumption;the average wait time for an averagecar going through our city streets
Assumption;the edge, there can only be two edges betweenintersections and they're oriented oppositely, you can't havetwo intersections going out
Assumption;the lane would be an addition of the road with somespecific logic data.
Assumption;the random number generator could try to pump a new carin 
Assumption;the sim right, it's almost like, i like cop. let's just say copwith that controls the light too.
Assumption;then depending on therandom number generator, each tick is random whether youpush a car or not
Assumption;then does that mean like onthe intersection then, so you've got an intersection objectwhich basically has four pointers to other intersection,possible intersections
Assumption;then you can only move maybe the actual road, like youcan't move the intersection
Assumption;then you increment the distance traveled from front toback of the queue
Assumption;thepopping might be a little complicated as you start buildingthese next to each other.
Assumption;there might be an implicitstep in the network to say to keep the network modelconstraints by introducing an intersection if it needs to at ajunction
Assumption;there's a, you can copy left-êhand turns protected bygreen arrow lights 
Assumption;there's no pop after a certain number of ticks orsomething like that on any given road
Assumption;this intersection into thisqueue it goes in here and the next tick, as long as there areno cars in front of it, it will go maybe two spaces orsomething. okay. so there's a notion of just a regular queueand there's a notion of slots in a queue
Assumption;this is a queue and what we're reallyinterested in is how those cars queue up, how big the queuesget, when the queues release and how many we can pop-êupthe end of the queue for some given clock tick. then we cankeep speed constant for 
Assumption;this road is geometrically shorter, then thisessentially is saying all roads are the same length
Assumption;tick if, let's say for each road in the simulation
Assumption;traffic light sensors, traffic light timing,
Assumption;two queues: one going straight, one going left.
Assumption;want the wait time to go flat with increasingcapacity.
Assumption;we could do it that way. either that or we could make roadsdominant and then intersections really just a thing thathappens at road crossings.
Assumption;we have some constraints on the flow of the queuesbecause we can't have lights coming in a collision course.
Assumption;we need something that represents intersections.
Assumption;well in our world there's always atleast two lanes and the left lane is always the left laneturning. for this situation
Assumption;well then wouldn't that be then still have two types of carbut
Assumption;wepegged the random number generators to be flowing at acertain grade. 
Assumption;we're prettyconstrained in what we draw geometrically so it almostseems like it might be nice to [inaudible] the geometry fromthe simulation
Assumption;we're saying that's kind of likethe network, or the graph traverse all. so, network cop goesthrough a grid or logic has to traverse this thing in a way thatpeople could use it.
Assumption;we've said that roads are basically queue's sowhat 
Assumption;when it went through, it would pop to the front ofthe queue in the next intersection
Assumption;would that be a property of the car onthe current wait time or something like that
Assumption;yeah, yeah just need, well one probably also needs an admin 
Assumption;you couldhave like a, well we have for interior road we have amaximum number of slots, 
Assumption;you have basically, i'dimagine, you start with a blank slate
Assumption;you'd have to say well, theroad on the opposite side has no cars, or we're just about toturn red.
Assumption;you're not going to have cars just popping up on the endhere. unless you're the terminator and you've beamed acar.
Assumption;you're trying to do the yield, you know trying tosimulate the yield rule, right
Behavioural Decision; is the car when itgets in queue, picks up this n value saying that's the size ofthe road and each tick it can increment one
Behavioural Decision; the light's behaviorshould be able to change based upon the input of thesensors. 
Behavioural Decision;a road is how many--what's yourcapacity and how full are you on average. kind of metricswe've collected.
Behavioural Decision;also like how longthese signals stay green
Behavioural Decision;and so the copsays okay, i try to tick, the intersections says i'm still or thatlight says i'm still green, and let's suppose this guy has rulessaying every four ticks change the colors of the lights.
